School_Name,School_Type,Longitude,Latitude,Address_Town,Address_Postcode,Region_Name,LGA_Name,LGA_ID
Mordialloc College,Secondary,145.09268,-38.01224,Mordialloc,3195,SOUTH-EASTERN VICTORIA,Kingston (C),343
Mount Beauty Secondary College,Secondary,147.16728,-36.74031,Mount Beauty,3699,NORTH-EASTERN VICTORIA,Alpine (S),11
Mount Eliza Secondary College,Secondary,145.09354,-38.1897,Mount Eliza,3930,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
Mount Waverley Secondary College,Secondary,145.13231,-37.86909,Mount Waverley,3149,NORTH-EASTERN VICTORIA,Monash (C),497
McKinnon Secondary College,Secondary,145.04854,-37.9122,Mckinnon,3204,SOUTH-EASTERN VICTORIA,Glen Eira (C),231
MacRobertson Girls High School,Secondary,144.97186,-37.83589,Melbourne,3004,SOUTH-EASTERN VICTORIA,Port Phillip (C),590
Nathalia Secondary College,Secondary,145.20844,-36.0599,Nathalia,3638,NORTH-EASTERN VICTORIA,Moira (S),490
Neerim District Secondary College,Secondary,145.95668,-38.01694,Neerim South,3831,SOUTH-EASTERN VICTORIA,Baw Baw (S),83
Newcomb Secondary College,Secondary,144.3952,-38.17113,Newcomb,3219,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Northcote High School,Secondary,144.98971,-37.77416,Northcote,3070,NORTH-WESTERN VICTORIA,Darebin (C),189
Norwood Secondary College,Secondary,145.2376,-37.79975,Ringwood,3134,NORTH-EASTERN VICTORIA,Maroondah (C),441
Numurkah Secondary College,Secondary,145.44627,-36.07995,Numurkah,3636,NORTH-EASTERN VICTORIA,Moira (S),490
Oberon High School,Secondary,144.36414,-38.23176,Armstrong Creek,3217,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Orbost Community College,Pri/Sec,148.46635,-37.70411,Orbost,3888,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
Ouyen P-12 College,Pri/Sec,142.32261,-35.06457,Ouyen,3490,NORTH-WESTERN VICTORIA,Mildura (RC),478
Pakenham Secondary College,Secondary,145.471,-38.069,Pakenham,3810,SOUTH-EASTERN VICTORIA,Cardinia (S),145
Edenbrook Secondary College,Secondary,145.44402,-38.07827,Pakenham,3810,SOUTH-EASTERN VICTORIA,Cardinia (S),145
Parkdale Secondary College,Secondary,145.0935,-37.9903,Mordialloc,3195,SOUTH-EASTERN VICTORIA,Kingston (C),343
Pascoe Vale Girls Secondary College,Secondary,144.9355,-37.71756,Pascoe Vale,3044,NORTH-WESTERN VICTORIA,Merri-bek (C),525
Prahran High School,Secondary,144.99116,-37.85175,Windsor,3181,SOUTH-EASTERN VICTORIA,Stonnington (C),635
Preston High School,Secondary,145.0064,-37.74169,Preston,3072,NORTH-WESTERN VICTORIA,Darebin (C),189
Princes Hill Secondary College,Secondary,144.96503,-37.78348,Princes Hill,3054,NORTH-WESTERN VICTORIA,Yarra (C),735
Homestead Senior Secondary College,Secondary,144.76858,-37.91573,Point Cook,3030,SOUTH-WESTERN VICTORIA,Wyndham (C),726
Bellarine Secondary College,Secondary,144.55753,-38.19066,Drysdale,3222,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Rainbow P-12 College,Pri/Sec,141.9967,-35.89447,Rainbow,3424,SOUTH-WESTERN VICTORIA,Hindmarsh (S),298
Red Cliffs Secondary College,Secondary,142.19545,-34.2988,Red Cliffs,3496,NORTH-WESTERN VICTORIA,Mildura (RC),478
Ringwood Secondary College,Secondary,145.23915,-37.81661,Ringwood,3134,NORTH-EASTERN VICTORIA,Maroondah (C),441
Richmond High School,Secondary,145.0028,-37.81741,Richmond,3121,NORTH-WESTERN VICTORIA,Yarra (C),735
Robinvale College,Pri/Sec,142.78155,-34.58889,Robinvale,3549,NORTH-WESTERN VICTORIA,Swan Hill (RC),661
Rochester Secondary College,Secondary,144.6987,-36.35278,Rochester,3561,NORTH-WESTERN VICTORIA,Campaspe (S),137
Rosebud Secondary College,Secondary,144.88745,-38.36762,Rosebud,3939,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
Brinbeal Secondary College,Secondary,144.64346,-37.85359,Tarneit,3029,SOUTH-WESTERN VICTORIA,Wyndham (C),726
Rutherglen High School,Secondary,146.4521,-36.06256,Rutherglen,3685,NORTH-EASTERN VICTORIA,Indigo (S),335
Saltwater P-9 College,Pri/Sec,144.77005,-37.91054,Point Cook,3030,SOUTH-WESTERN VICTORIA,Wyndham (C),726
Scoresby Secondary College,Secondary,145.2362,-37.88864,Scoresby,3179,NORTH-EASTERN VICTORIA,Knox (C),367
St Albans Secondary College,Secondary,144.80841,-37.74553,St Albans,3021,SOUTH-WESTERN VICTORIA,Brimbank (C),118
St Arnaud Secondary College,Secondary,143.25094,-36.60955,St Arnaud,3478,SOUTH-WESTERN VICTORIA,Northern Grampians (S),581
Oakwood School,Secondary,145.03417,-37.87398,Caulfield North,3161,SOUTH-EASTERN VICTORIA,Glen Eira (C),231
Strathmore Secondary College,Secondary,144.92664,-37.73695,Strathmore,3041,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
Sunbury College,Secondary,144.72867,-37.57428,Sunbury,3429,NORTH-WESTERN VICTORIA,Hume (C),327
Sydney Road Community School,Secondary,144.96234,-37.77182,Brunswick,3056,NORTH-WESTERN VICTORIA,Merri-bek (C),525
Tallangatta Secondary College,Secondary,147.17267,-36.22044,Tallangatta,3700,NORTH-EASTERN VICTORIA,Towong (S),667
Thomastown Secondary College,Secondary,145.00194,-37.67872,Thomastown,3074,NORTH-WESTERN VICTORIA,Whittlesea (C),707
Trafalgar High School,Secondary,146.1583,-38.21457,Trafalgar,3824,SOUTH-EASTERN VICTORIA,Baw Baw (S),83
Bemin Secondary College,Secondary,144.70975,-37.82641,Truganina,3029,SOUTH-WESTERN VICTORIA,Wyndham (C),726
Dohertys Creek P-9 College,Pri/Sec,144.73391,-37.84298,Truganina,3029,SOUTH-WESTERN VICTORIA,Wyndham (C),726
University High School,Secondary,144.95538,-37.79698,Parkville,3052,SOUTH-WESTERN VICTORIA,Melbourne (C),460
Roxburgh College,Secondary,144.93033,-37.63041,Roxburgh Park,3064,NORTH-WESTERN VICTORIA,Hume (C),327
Upper Yarra Secondary College,Secondary,145.62393,-37.79209,Yarra Junction,3797,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Upwey High School,Secondary,145.33548,-37.90436,Upwey,3158,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Vermont Secondary College,Secondary,145.1997,-37.84412,Vermont,3133,NORTH-EASTERN VICTORIA,Whitehorse (C),698
Kambrya College,Secondary,145.34741,-38.05369,Berwick,3806,SOUTH-EASTERN VICTORIA,Casey (C),161
Carrum Downs Secondary College,Secondary,145.19766,-38.09529,Carrum Downs,3201,SOUTH-EASTERN VICTORIA,Frankston (C),217
Wangaratta High School,Secondary,146.30772,-36.3449,Wangaratta,3677,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
Greenvale Secondary College,Secondary,144.88961,-37.6503,Greenvale,3059,NORTH-WESTERN VICTORIA,Hume (C),327
Wantirna College,Secondary,145.22997,-37.8576,Wantirna,3152,NORTH-EASTERN VICTORIA,Knox (C),367
Warracknabeal Secondary College,Secondary,142.3908,-36.25768,Warracknabeal,3393,SOUTH-WESTERN VICTORIA,Yarriambiack (S),763
Warrandyte High School,Secondary,145.18422,-37.74827,Warrandyte,3113,NORTH-EASTERN VICTORIA,Manningham (C),421
Wellington Secondary College,Secondary,145.16938,-37.93447,Mulgrave,3170,NORTH-EASTERN VICTORIA,Monash (C),497
Werribee Secondary College,Secondary,144.66874,-37.90554,Werribee,3030,SOUTH-WESTERN VICTORIA,Wyndham (C),726
Bairnsdale Secondary College,Secondary,147.605,-37.82871,Bairnsdale,3875,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
Westall Secondary College,Secondary,145.13658,-37.94031,Clayton South,3169,SOUTH-EASTERN VICTORIA,Kingston (C),343
Wheelers Hill Secondary College,Secondary,145.18174,-37.91013,Wheelers Hill,3150,NORTH-EASTERN VICTORIA,Monash (C),497
Williamstown High School,Secondary,144.89502,-37.86286,Williamstown,3016,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),311
Wodonga Senior Secondary College,Secondary,146.88105,-36.12561,Wodonga,3690,NORTH-EASTERN VICTORIA,Wodonga (C),717
Yarram Secondary College,Secondary,146.68541,-38.56743,Yarram,3971,SOUTH-EASTERN VICTORIA,Wellington (S),681
Woodmans Hill Secondary College,Secondary,143.89228,-37.55912,Ballarat East,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Yea High School,Secondary,145.40854,-37.21501,Yea,3717,NORTH-EASTERN VICTORIA,Murrindindi (S),562
Glen Eira College,Secondary,145.03801,-37.8857,Caulfield East,3145,SOUTH-EASTERN VICTORIA,Glen Eira (C),231
Craigieburn Secondary College,Secondary,144.93595,-37.60875,Craigieburn,3064,NORTH-WESTERN VICTORIA,Hume (C),327
Emerald Secondary College,Secondary,145.45874,-37.92427,Emerald,3782,NORTH-EASTERN VICTORIA,Cardinia (S),145
Reservoir High School,Secondary,145.02977,-37.72226,Reservoir,3073,NORTH-WESTERN VICTORIA,Darebin (C),189
Hampton Park Secondary College,Secondary,145.25988,-38.03486,Hampton Park,3976,SOUTH-EASTERN VICTORIA,Casey (C),161
Hoppers Crossing Secondary College,Secondary,144.69536,-37.87122,Hoppers Crossing,3029,SOUTH-WESTERN VICTORIA,Wyndham (C),726
Keilor Downs Secondary College,Secondary,144.81119,-37.71552,Keilor Downs,3038,SOUTH-WESTERN VICTORIA,Brimbank (C),118
Kurnai College,Secondary,146.43279,-38.22879,Morwell,3840,SOUTH-EASTERN VICTORIA,Latrobe (C),381
Kurunjang Secondary College,Secondary,144.58596,-37.67291,Kurunjang,3337,SOUTH-WESTERN VICTORIA,Melton (C),465
Lakes Entrance Secondary College,Secondary,147.99841,-37.87134,Lakes Entrance,3909,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
Elisabeth Murdoch College,Secondary,145.19018,-38.15929,Langwarrin,3910,SOUTH-EASTERN VICTORIA,Frankston (C),217
Sunbury Downs Secondary College,Secondary,144.70448,-37.58401,Sunbury,3429,NORTH-WESTERN VICTORIA,Hume (C),327
Forest Hill College,Secondary,145.16373,-37.84852,Burwood East,3151,NORTH-EASTERN VICTORIA,Whitehorse (C),698
Patterson River Secondary College,Secondary,145.13474,-38.0835,Seaford,3198,SOUTH-EASTERN VICTORIA,Frankston (C),217
St Helena Secondary College,Secondary,145.13991,-37.68687,Eltham North,3095,NORTH-WESTERN VICTORIA,Banyule (C),66
Stawell Secondary College,Secondary,142.78979,-37.06195,Stawell,3380,SOUTH-WESTERN VICTORIA,Northern Grampians (S),581
Rowville Secondary College,Secondary,145.23709,-37.92389,Rowville,3178,NORTH-EASTERN VICTORIA,Knox (C),367
Bass Coast College,Secondary,145.59788,-38.61094,Wonthaggi,3995,SOUTH-EASTERN VICTORIA,Bass Coast (S),74
Sandringham College,Secondary,145.02303,-37.95671,Sandringham,3191,SOUTH-EASTERN VICTORIA,Bayside (C),91
Fitzroy High School,Secondary,144.98748,-37.78491,Fitzroy North,3068,NORTH-WESTERN VICTORIA,Yarra (C),735
Ashwood High School,Secondary,145.10333,-37.86453,Ashwood,3147,NORTH-EASTERN VICTORIA,Monash (C),497
Mullauna Secondary College,Secondary,145.19016,-37.80711,Mitcham,3132,NORTH-EASTERN VICTORIA,Whitehorse (C),698
Leongatha Secondary College,Secondary,145.96124,-38.47869,Leongatha,3953,SOUTH-EASTERN VICTORIA,South Gippsland (S),617
Diamond Valley College,Secondary,145.1674,-37.67283,Diamond Creek,3089,NORTH-WESTERN VICTORIA,Nillumbik (S),571
Blackburn English Language School,Language,145.14829,-37.84789,Burwood East,3151,NORTH-EASTERN VICTORIA,Whitehorse (C),698
Collingwood English Language School,Language,144.9848,-37.80784,Collingwood,3066,NORTH-WESTERN VICTORIA,Yarra (C),735
