,Suburb,apartment_price,Num_sales_units,unit_1bed_Rent_today,unit_1bed_unit_avg,unit_1bed_2025_avg,unit_1bed_2026_avg,unit_1bed_2027_avg,unit_1bed_2028_avg,unit_1bed_2029_avg,unit_1bed_2030_avg,unit_1bed_avg_future_rent,unit_1bed_Price_change (%),unit_2bed_Rent_today,unit_2bed_unit_avg,unit_2bed_2025_avg,unit_2bed_2026_avg,unit_2bed_2027_avg,unit_2bed_2028_avg,unit_2bed_2029_avg,unit_2bed_2030_avg,unit_2bed_avg_future_rent,unit_2bed_Price_change (%),unit_3bed_Rent_today,unit_3bed_unit_avg,unit_3bed_2025_avg,unit_3bed_2026_avg,unit_3bed_2027_avg,unit_3bed_2028_avg,unit_3bed_2029_avg,unit_3bed_2030_avg,unit_3bed_avg_future_rent,unit_3bed_Price_change (%),apartment_ALL_avg_price_change(%),apartment_ALL_future_rent,apartment_Annual ROI (%),apartment_5yr ROI (%)
395,TOORAK,800000,46,429.9962649517984,429.9962649517984,424.37295734655504,431.13042441809284,440.51494287351204,450.10680592010056,459.7803140651412,465.8434996982639,443.1064584676377,2.9587006159145814,661.0554427428303,661.0554427428303,662.5480400376821,676.9508887955157,692.4237825824155,710.9466565146361,725.7719983566882,736.9609922412118,695.2368287529971,4.91650968368229,955.3078978307808,955.3078978307808,967.6928488327335,975.3470568781679,998.4919031664609,1022.2077138275666,1045.9282734514202,1060.7536477841525,1003.6756202530403,4.8190592105909,4.23142317006259,714.0063024912251,0.08925078781140314,0.4462539390570157
94,CLAYTON,685000,57,472.9922270019912,472.9922270019912,481.6165039718127,490.9917429847291,503.4920616686176,515.9923803525062,528.4926990363947,536.305398213825,504.2690018899824,6.202398872579313,574.4809643166508,574.4809643166508,583.246023128467,597.8576469026677,615.7080106889155,632.7386231063342,649.4874405847424,659.9028617274653,616.2030814936061,6.770838775396195,636.1457046915554,636.1457046915554,636.6964943092263,643.7316406939564,657.6381946401359,673.1603396141442,689.0522136565229,699.0325683425597,662.208165135443,3.9356899863288475,5.636309211434785,594.2267495063438,0.08674843058486771,0.43374215292433854
328,RESERVOIR,647000,136,405.48673652725694,405.48673652725694,409.688426630226,414.25472860525167,423.8621157959363,435.8905035041673,447.3186404750247,454.34278496039474,427.26341949975114,5.096781511974695,499.0879780159364,499.0879780159364,514.5544200892894,538.4526986512938,564.4676610951684,586.2363149298972,605.436774418455,616.6458296668069,560.6973824095496,10.987995722193672,613.8862956118862,613.8862956118862,631.5403045379223,659.1760930398768,687.2143793535142,709.7834615790383,729.8380859357811,741.7613882048064,681.885715466118,9.972260499363776,8.685679244510714,556.6155057918062,0.08603021727848628,0.4301510863924314
144,ELSTERNWICK,754100,44,427.0256591763692,427.0256591763692,428.09167372655537,431.0753211353268,439.6443205932648,450.1836427643681,461.19525145232797,468.1399410475101,443.6222585565318,3.7411556927204255,601.110674496426,601.110674496426,603.314614444106,610.7873792074621,622.9551920137758,643.0197816502247,659.9469572634953,669.01350316272,630.0211574626013,4.5888114428746745,811.2951964127762,811.2951964127762,819.5388330536346,834.6367739411655,855.0294810347225,875.4221881282795,895.8148952218364,908.5603371553096,857.1853864211034,5.35358986927281,4.561185668289303,643.6096008134122,0.08534804413385653,0.4267402206692827
380,SUNSHINE,547000,18,338.36297629337,338.36297629337,348.71844623553795,360.1479382363501,362.9895457580145,364.6861650874471,373.77171026874186,382.160487096534,361.5481812822851,6.412756636386678,425.6780654212726,425.6780654212726,434.0010673506872,446.5086007149667,460.61010140695475,473.60199175183743,486.28211217008425,494.1587579434984,460.1200995370431,7.485444376462764,541.5915342435786,541.5915342435786,551.8075024579689,564.5623025324721,577.6985925434598,587.9583101541878,606.0338743011422,621.2078899029505,578.6942865908229,6.41145993782353,6.769886983557657,466.78752247005036,0.08533592732542054,0.42667963662710273
76,CARLTON NORTH,730000,7,420.7678888766369,420.7678888766369,427.81666504134034,434.6167385750924,445.4039859778697,456.09191683810815,466.65640057344064,473.2039022878874,446.3653568814822,5.734644862155353,579.0289882823905,579.0289882823905,584.5909414425423,595.4597660466529,609.9088511533375,624.3562404431927,638.8036159046618,647.8332254979372,611.425946967245,5.298590752575634,756.7424934767847,756.7424934767847,760.1300865091202,769.5560762796043,787.3513421471579,805.2543567275966,823.1576426471171,,783.6986662978969,3.439609377983261,4.824281664238083,613.8299900488747,0.08408630000669517,0.42043150003347585
39,BENTLEIGH,742500,42,422.1989262141676,422.1989262141676,431.628099397415,445.97699420408696,461.4915524970057,474.92001116867493,487.6074266415474,495.3882837508168,459.88732769624494,8.195138072378127,579.8964535614981,579.8964535614981,582.0292706054552,573.9497499134975,561.4682315570764,572.096162162163,606.003851609519,629.3281458186875,586.3959807468425,1.108385357121053,757.6328441882966,757.6328441882966,766.119784190433,782.2518080055227,802.4139624353734,822.6532466140781,842.905951079929,855.5661384014365,804.2205335592956,5.792899761563232,5.032141063687471,616.8346140007943,0.08307536888899587,0.41537684444497935
366,SPRINGVALE,642000,23,362.6,362.6,366.5000000000001,374.3000000000002,384.7000000000003,395.10000000000036,405.5000000000004,412.00000000000045,385.814285714286,6.016958566297684,497.86297871372966,497.86297871372966,498.570829560299,506.0994505796796,519.170354122476,532.8347820140459,546.5592649984441,555.1406806307033,522.3197629456254,4.682339433984181,627.2238677699894,627.2238677699894,636.9364900381588,653.9415173370999,674.2335342722831,693.3233965731971,711.9850952400276,723.5656965202467,674.4585139644289,7.003343455003175,5.900880485095013,527.5308542081134,0.08216991498568745,0.4108495749284372
49,BORONIA,647500,56,409.8046450254682,409.8046450254682,394.8363621245171,390.2091610008057,417.7762939374913,428.719302631094,435.0239951002528,444.2303412804729,417.2285858714431,1.779346165955752,497.069661985036,497.069661985036,507.0526045631545,519.5978465112853,534.3090700978345,548.4267613364258,562.439300104557,571.1873648551536,534.2975156362066,6.967626193590311,592.6705400037717,592.6705400037717,606.1496766806113,623.9888965344264,642.5356530157555,660.0636745649332,677.2397364507533,687.7941135610996,641.491755830193,7.610575721778187,5.452516027108083,531.0059524459476,0.08200864130439346,0.4100432065219673
38,BENDIGO,536000,6,317.67385586021226,317.67385586021226,317.3720653446096,323.16589228225916,339.35501713708425,351.87660572327377,365.95721661469355,374.2761889411657,341.38240598618546,6.9448658484563515,408.08316264830967,408.08316264830967,421.4628476278199,429.5752205337388,445.7005203929158,460.0353652028344,473.8157915859563,482.26912465242657,445.8488618062859,8.470515996154957,484.8184954242332,484.8184954242332,485.94101291957475,496.18976007722426,509.0355967984117,522.0010007900632,533.4384687814664,,505.2373891318289,4.0414454960830035,6.48560911356477,430.82288564143346,0.08037740403758087,0.40188702018790434
