stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"37865","37865","Princes Hwy/McCulloch St","-37.82691757","147.62426911","","","0","Level 0",""
"37866","37866","Bairnsdale Primary School/McCulloch St","-37.82700884","147.62405398","","","0","Level 0",""
"37867","37867","Mitchell St/McCulloch St","-37.82306846","147.62266867","","","0","Level 0",""
"37868","37868","Dawson St/Turnbull St","-37.82328747","147.61529625","","","0","Level 0",""
"37869","37869","Day St/Ross St","-37.82045982","147.61136423","","","0","Level 0",""
"37870","37870","Bairnsdale Regional Health Service/McKean","-37.82035836","147.60832973","","","0","Level 0",""
"37871","37871","Taylor St/Moroney St","-37.82184424","147.60331980","","","0","Level 0",""
"37872","37872","Combay St/Moroney St","-37.82117652","147.59816730","","","0","Level 0",""
"37873","37873","Moroney St/Riley St","-37.82069311","147.59216420","","","0","Level 0",""
"37874","37874","Ballantine St/Wallace St","-37.82291664","147.59448855","","","0","Level 0",""
"37875","37875","Reid St/Calvert St","-37.83016655","147.59914895","","","0","Level 0",""
"37876","37876","Arco Ct/Calvert St","-37.83584314","147.59946761","","","0","Level 0",""
"37877","37877","Bairnsdale Regional Health Service/Mckean","-37.82028749","147.60809054","","","0","Level 0",""
"37878","37878","The Boulevarde/Bullumwaal Rd","-37.80436151","147.61674090","","","0","Level 0",""
"37879","37879","Lindsay Ct/Bullumwaal Rd","-37.80178538","147.61470890","","","0","Level 0",""
"37880","37880","Nicole Ct/Woodward St","-37.80051117","147.61189266","","","0","Level 0",""
"37881","37881","Dooley St/Woodward St","-37.80323250","147.61374398","","","0","Level 0",""
"37882","37882","Dwyer St/Bullumwaal Rd","-37.80520219","147.61627078","","","0","Level 0",""
"37883","37883","Bairnsdale West Primary School/McKean St","-37.82389508","147.60763155","","","0","Level 0",""
"37884","37884","Charles St/Buchanan St","-37.81599109","147.64976287","","","0","Level 0",""
"37885","37885","Princes Hwy/Charles St","-37.81845440","147.65089792","","","0","Level 0",""
"37886","37886","Lucknow St/Cameron St","-37.82478591","147.65173755","","","0","Level 0",""
"37887","37887","East Bairnsdale Community Hub/Hoddinott St","-37.82810828","147.65398260","","","0","Level 0",""
"37888","37888","Hoddinott St/Lucknow St","-37.82669217","147.65417463","","","0","Level 0",""
"37893","37893","King St/Paynesville Rd","-37.91470357","147.71907127","","","0","Level 0",""
"37897","37897","Retreat Motel/Princes Hwy","-37.81629389","147.73905457","","","0","Level 0",""
"37898","37898","Retreat Hotel/Princes Hwy","-37.81654737","147.73887532","","","0","Level 0",""
"37899","37899","General Store/Princes Hwy","-37.82007878","147.83108959","","","0","Level 0",""
"37900","37900","Town Hall/Princes Hwy","-37.82014844","147.83015870","","","0","Level 0",""
"37901","37901","General Store/Princes Hwy","-37.82198489","147.85689168","","","0","Level 0",""
"37902","37902","General Store/Princes Hwy","-37.82217539","147.85672345","","","0","Level 0",""
"37903","37903","Lakes Caravilla/Princes Hwy","-37.86888021","147.95732519","","","0","Level 0",""
"37904","37904","Lakes Caravilla/Princes Hwy","-37.87001154","147.95785145","","","0","Level 0",""
"37905","37905","George Bass Motor Inn/Princes Hwy","-37.87789983","147.96090997","","","0","Level 0",""
"37910","37910","Middle St/Princes Hwy","-37.87477762","148.00771440","","","0","Level 0",""
"37915","37915","Bairnsdale Railway Station/MacLeod St","-37.82840614","147.62739519","","","0","Level 0","Bay 5"
"37920","37920","Station Rd/Great Alpine Rd","-37.70868450","147.82629302","","","0","Level 0",""
"37921","37921","General Store/Main St","-37.70764756","147.83275932","","","0","Level 0",""
"37924","37924","Ensay Cafe/Great Alpine Rd","-37.37597430","147.83529019","","","0","Level 0",""
"37926","37926","Swifts Creek General Store/Great Alpine Rd","-37.26299793","147.72130930","","","0","Level 0",""
"37927","37927","Omeo Primary School/Great Alpine Rd","-37.10017798","147.59295762","","","0","Level 0",""
"37940","37940","Horn St/Ogilvy St","-38.47963484","145.95593529","","","0","Level 0",""
"37941","37941","Horn Rd/Ogilvy St","-38.47945534","145.95601813","","","0","Level 0",""
"37942","37942","St Laurences Memorial School/Ogilvy St","-38.47918494","145.95399283","","","0","Level 0",""
"37944","37944","Gray St/Mccartin St","-38.47950655","145.94164093","","","0","Level 0",""
"37945","37945","Gray St/Mccartin St","-38.47925435","145.94165608","","","0","Level 0",""
"37948","37948","Racecourse Rd/Bass Hwy","-38.49152708","145.92960886","","","0","Level 0",""
"37949","37949","Zotti and Dowels Rd/Bass Hwy","-38.55395286","145.84445958","","","0","Level 0",""
"37950","37950","Koonawarra-Inverloch Rd/Bass Hwy","-38.57823890","145.82902016","","","0","Level 0",""
"37955","37955","View St/Cashin St","-38.63659786","145.71569419","","","0","Level 0",""
"37956","37956","View St/Cashin St","-38.63667095","145.71578480","","","0","Level 0",""
"37961","37961","Information Centre/Watt St","-38.60743751","145.59050446","","","0","Level 0",""
"37962","37962","Rose Lodge Accommodation/Graham St","-38.60695110","145.58306061","","","0","Level 0",""
"37964","37964","Wonthaggi Bus Interchange/Biggs Dr","-38.60485287","145.58839603","","","0","Level 0",""
"37965","37965","Merrin Cres/Matthew St","-38.61533483","145.59153294","","","0","Level 0",""
"37968","37968","Marine St/Coral St","-38.66963314","145.60852726","","","0","Level 0",""
"37970","37970","Zephyr Ct/Nardoo St","-38.67167528","145.61583287","","","0","Level 0",""
