,SA2_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Owner occupied (%),Mortgage (%),Total rented (%),Other tenure (%),Unemployment,post_gradutae (%),Graduate_diploma_certificate(%),Bachelor (%),Advanced_&_Diploma (%),Certificate_level (%),Total_persons
320,211041269,42,2123,706,396,2120,0.8,1658,2.5,0.3808474161156013,0.3272103845211854,0.25691893215772715,0.02204261572373255,0.05373248896564959,0.16163167776071002,0.04608294930875576,0.3659327530295272,0.15890083632019117,0.17050691244239632,5859
321,211041270,39,2167,911,406,2487,0.8,2030,2.5,0.3495670995670996,0.3586889301175015,0.27427334570191714,0.00974025974025974,0.043795620437956206,0.1617831728756802,0.06310171619924655,0.38290079531184595,0.15079531184596065,0.17685223943072415,9556
322,211041271,39,2167,839,391,2393,0.9,1938,2.6,0.318628521511247,0.3468006114872243,0.2865254422362961,0.024677877265778553,0.045180256846665635,0.16076944678461105,0.05405784891884302,0.35874754282504917,0.14181409716371807,0.16540297669194046,7122
323,211041272,40,2383,797,426,2354,0.8,2042,2.8,0.39421052631578946,0.4,0.18578947368421053,0.011842105263157895,0.04590818363273453,0.16373477672530445,0.054465493910690124,0.3623139377537212,0.16271989174560217,0.18826116373477672,5912
324,211041273,46,2383,715,496,2179,0.7,1944,2.8,0.4824969400244798,0.32802937576499386,0.1383108935128519,0.039902080783353736,0.05312993161493951,0.170530045769969,0.04827993503617304,0.3578916285250258,0.15532260445888085,0.16122840690978887,6773
325,211051274,40,1950,907,400,2478,0.8,2253,2.8,0.3504973668812171,0.5564657694558222,0.07401989467524868,0.00994733762434172,0.04055744148651063,0.09523809523809523,0.05893980233602875,0.2742138364779874,0.1757412398921833,0.3155435759209344,5565
326,211051275,38,2167,852,443,2316,0.8,2084,2.8,0.36502087939081307,0.4694178334561533,0.14861213461066078,0.008351756325227217,0.03095388502842704,0.06978709023318688,0.04562352145995269,0.24940858398107468,0.18181818181818182,0.36312943562014194,5918
327,211051276,45,1733,737,350,1971,0.8,1594,2.5,0.4040636381061913,0.42802376844930035,0.14184397163120568,0.01284262986390646,0.03173229482186644,0.055547973249624676,0.04176334106728538,0.20090077794458852,0.1712842909785724,0.38760747918657024,7327
328,211051277,38,1970,796,396,2050,0.8,1654,2.5,0.32496765847347997,0.4315653298835705,0.19715394566623545,0.034670116429495475,0.03612801884940114,0.05975685143210385,0.04141767978569957,0.21821553678137234,0.18009478672985782,0.40552235730475994,4853
329,211051278,40,1950,803,369,2189,0.8,1784,2.6,0.33278598795840175,0.4493705528188287,0.1834975369458128,0.022851669403393542,0.033374654333937256,0.049770525242223355,0.03671596124426313,0.21662417134115247,0.18092809790922998,0.41499235084140745,9805
330,211051279,43,2000,776,360,2179,0.8,1872,2.8,0.4019950124688279,0.44089775561097255,0.12319201995012469,0.023940149625935162,0.03163503163503163,0.06482106684672519,0.04659014179608373,0.2137069547602971,0.17656988521269412,0.3936529372045915,2962
331,211051280,41,2000,858,365,2388,0.8,2094,2.8,0.363169164882227,0.515203426124197,0.08436830835117773,0.026124197002141327,0.03160521208760743,0.055478884902014906,0.043886282086668504,0.22991995583770355,0.17195694176097157,0.38973226607783606,3623
332,211051281,37,2000,838,400,2245,0.8,1992,2.8,0.31683168316831684,0.4628712871287129,0.2032178217821782,0.008787128712871288,0.04007038310805407,0.06537148857967971,0.043668504419357664,0.23794521746740177,0.17502406580904875,0.389516058458038,11427
333,211051282,45,2028,873,400,2432,0.8,2102,2.6,0.3914148545608585,0.5072013555492799,0.08161536289183846,0.010731431798926857,0.0386676875957121,0.12274305555555555,0.07378472222222222,0.30069444444444443,0.1751736111111111,0.25364583333333335,5760
334,211051283,38,2000,828,365,2263,0.8,2045,2.8,0.31557134399052694,0.5547661338069864,0.09117821195973949,0.02516281823564239,0.03290074940595869,0.050060802594244024,0.04458856911228212,0.2124037292257803,0.18970409404134578,0.4389947304418322,4934
335,211051284,41,1950,902,375,2477,0.8,2148,2.7,0.3402324922030054,0.5350155939892259,0.10774028919761837,0.009923447689254324,0.04025650160313502,0.09900452488687783,0.06190045248868778,0.28,0.17610859728506786,0.31565610859728505,5525
336,211051285,39,1950,850,360,2230,0.8,2066,2.9,0.34134434847915884,0.5291025159594442,0.09876079609463012,0.010514457378895982,0.0258659469185785,0.0382262996941896,0.03644240570846075,0.18170234454638123,0.17558613659531092,0.46992864424057085,3924
337,211051286,43,1690,681,315,1792,0.8,1439,2.5,0.3640950520833333,0.4835611979166667,0.1201171875,0.015950520833333332,0.038665843113032734,0.037094651190618645,0.03673567069522556,0.15388297235850185,0.1647720473854254,0.4459734354433409,8357
338,212011289,41,1980,870,370,2402,0.8,2176,2.9,0.3451927850405428,0.5550223398974019,0.07430084395167963,0.0115836505047162,0.030495809350701807,0.058179187764803145,0.04350521855947091,0.21638937687299784,0.17381419861527334,0.38234990182907924,9677
339,212011546,33,2000,943,391,2322,0.8,2146,2.9,0.18984126984126984,0.5413333333333333,0.2521904761904762,0.007746031746031746,0.04230220151776993,0.0982292014700969,0.039508853992649515,0.252505846976278,0.19612429001002338,0.3296024056130972,11972
340,212011547,40,1950,767,311,2162,0.8,1897,2.8,0.3592870544090056,0.4787367104440275,0.12132582864290181,0.0225140712945591,0.03250743310208127,0.03276977666457942,0.03005635566687539,0.16405760801502817,0.14047171780421625,0.45293258192444164,4791
341,212011548,35,1940,814,320,2104,0.8,1823,2.7,0.29541547277936964,0.5117478510028654,0.1489971346704871,0.02464183381088825,0.027836034318398473,0.027002700270027002,0.02857785778577858,0.1395139513951395,0.16111611161116113,0.49504950495049505,4444
342,212011549,32,1733,808,346,1879,0.8,1651,2.7,0.17902718697984094,0.48881080081375994,0.2973922692805622,0.02348807101904938,0.052740434332988625,0.056133933595948225,0.0319358469330332,0.1778277996623523,0.18106359032076533,0.4209341586944288,7108
